ID,MENO,PRIEZVISKO,VEK,POHLAVIE
30553,Anna,Doe,30,Woman
30554,Anna,Jones,27,Man
30555,Anna,Taylor,19,Woman
30556,Sam,Johnson,47,Man
30557,Emma,Garcia,49,Woman
30558,Lucy,Lee,26,Woman
30559,Chris,Jones,27,Woman
30560,Tom,Garcia,18,Woman
30561,Jane,Smith,53,Woman
30562,Tom,Martinez,59,Woman
30563,John,Doe,50,Woman
30564,Chris,White,46,Woman
30565,Tom,Lee,48,Man
30566,Mike,Doe,53,Woman
30567,Lucy,Doe,36,Man
30568,Linda,Garcia,42,Man
30569,Anna,Doe,46,Man
30570,Jane,Taylor,34,Woman
30571,Tom,Garcia,49,Woman
30572,Chris,Johnson,51,Man
30573,Linda,Johnson,43,Man
30574,Anna,Jones,38,Man
30575,John,Brown,55,Woman
30576,Anna,Lee,46,Man
30577,Sam,Garcia,24,Woman
30578,Anna,Smith,33,Man
30579,Jane,Johnson,19,Man
30580,Tom,Brown,25,Man
30581,John,Garcia,20,Woman
30582,Linda,Doe,45,Man
30583,Linda,Doe,58,Woman
30584,Anna,Lee,33,Man
30585,Sam,Lee,30,Woman
30586,Linda,Martinez,36,Woman
30587,Mike,Jones,39,Woman
30588,Anna,Doe,46,Man
30589,Chris,Johnson,22,Man
30590,Emma,Lee,27,Man
30591,Tom,Garcia,43,Woman
30592,Emma,White,57,Woman
30593,Chris,Doe,39,Woman
30594,Anna,Doe,54,Woman
30595,Lucy,Martinez,55,Woman
30596,Tom,Smith,50,Man
30597,Tom,Lee,60,Woman
30598,Mike,Garcia,19,Woman
30599,Emma,Martinez,37,Man
30600,Anna,Jones,52,Man
30601,Mike,Brown,50,Man
30602,John,Taylor,60,Woman
30603,Sam,Martinez,32,Man
30604,Sam,Martinez,32,Woman
30605,Linda,Garcia,48,Woman
30606,Linda,Doe,39,Man
30607,Lucy,Brown,32,Woman
30608,Linda,Taylor,47,Man
30609,Lucy,Martinez,46,Woman
30610,Mike,Jones,28,Woman
30611,Tom,Garcia,41,Woman
30612,Lucy,Smith,36,Woman
30613,Chris,Johnson,30,Man
30614,Lucy,Doe,39,Man
30615,Tom,White,45,Man
30616,Chris,Smith,60,Man
30617,Tom,Doe,52,Man
30618,Sam,White,51,Woman
30619,Anna,Johnson,32,Woman
30620,Tom,Johnson,28,Woman
30621,Linda,Martinez,31,Man
30622,Emma,Johnson,40,Man
30623,Mike,Johnson,55,Woman
30624,Chris,Garcia,31,Woman
30625,John,Martinez,49,Woman
30626,Mike,Johnson,31,Woman
30627,John,White,53,Man
30628,Emma,White,49,Man
30629,Mike,White,46,Man
30630,Sam,White,54,Man
30631,Jane,Taylor,20,Woman
30632,Linda,Martinez,33,Woman
30633,Anna,Jones,39,Woman
30634,Emma,Martinez,25,Woman
30635,Emma,Johnson,59,Woman
30636,Tom,Johnson,48,Woman
30637,Mike,Martinez,47,Woman
30638,Lucy,White,47,Woman
30639,John,White,37,Woman
30640,Sam,Lee,50,Woman
30641,Mike,Jones,44,Man
30642,John,Brown,21,Man
30643,John,Johnson,51,Man
30644,Mike,Lee,21,Man
30645,Linda,Doe,29,Woman
30646,Emma,Jones,32,Man
30647,Sam,Jones,43,Man
30648,Anna,Brown,60,Man
30649,Linda,Doe,34,Man
30650,Anna,Martinez,51,Man
30651,Jane,Jones,43,Woman
30652,Chris,Johnson,20,Man
30653,Sam,Martinez,23,Woman
30654,Emma,Lee,35,Man
30655,Tom,Brown,39,Man
30656,Linda,Martinez,23,Man
30657,Linda,Johnson,46,Woman
30658,Jane,Jones,55,Woman
30659,Emma,Doe,29,Man
30660,Anna,Brown,36,Woman
30661,Mike,Johnson,49,Woman
30662,Linda,Martinez,36,Man
30663,Sam,White,48,Man
30664,Linda,Lee,56,Man
30665,Sam,Doe,44,Man
30666,Chris,Doe,23,Man
30667,Tom,Johnson,21,Man
30668,Chris,White,56,Woman
30669,Tom,Doe,34,Man
30670,John,Brown,60,Man
30671,Lucy,Jones,22,Man
30672,John,Brown,21,Man
30673,Jane,Jones,56,Woman
30674,Emma,Johnson,36,Woman
30675,Mike,Taylor,42,Woman
30676,Anna,White,20,Man
30677,Mike,Doe,21,Man
30678,Linda,White,33,Man
30679,John,Jones,56,Man
30680,Jane,Jones,51,Woman
30681,Jane,Martinez,19,Woman
30682,Linda,Martinez,46,Man
30683,Sam,Johnson,24,Man
30684,John,Martinez,57,Man
30685,Mike,Lee,39,Woman
30686,Chris,White,41,Woman
30687,Chris,Taylor,22,Man
30688,Lucy,White,30,Woman
30689,Mike,Martinez,52,Woman
30690,Lucy,Garcia,60,Man
30691,Sam,Jones,37,Woman
30692,Lucy,Doe,55,Man
30693,John,Smith,25,Man
30694,Jane,Jones,60,Woman
30695,Emma,Doe,25,Woman
30696,Chris,Jones,24,Man
30697,Tom,Martinez,40,Man
30698,Linda,Taylor,42,Man
30699,Chris,White,52,Woman
30700,Sam,Taylor,36,Man
30701,Jane,Smith,31,Woman
30702,John,Doe,42,Man
30703,Lucy,White,43,Woman
30704,Sam,Taylor,38,Man
30705,Linda,Garcia,47,Man
30706,Tom,Doe,30,Man
30707,Jane,Smith,19,Woman
30708,Anna,Doe,27,Woman
30709,John,Smith,41,Woman
30710,Anna,White,44,Woman
30711,Jane,Lee,36,Woman
30712,Linda,Martinez,33,Woman
30713,John,Jones,60,Man
30714,Tom,Garcia,49,Man
30715,Sam,Johnson,39,Man
30716,John,Doe,50,Man
30717,Sam,Garcia,35,Man
30718,Chris,Johnson,20,Man
30719,Chris,Johnson,33,Woman
30720,Mike,Brown,24,Woman
30721,John,Martinez,23,Woman
30722,Chris,Garcia,57,Woman
30723,Anna,Brown,32,Woman
30724,Anna,Martinez,51,Man
30725,Emma,Doe,20,Woman
30726,Linda,Lee,28,Woman
30727,Sam,Smith,26,Woman
30728,Tom,White,49,Woman
30729,Mike,White,43,Man
30730,Chris,Jones,50,Man
30731,Sam,Taylor,60,Man
30732,Tom,Lee,37,Man
30733,Anna,Jones,56,Man
30734,Lucy,Brown,19,Woman
30735,Linda,White,42,Man
30736,John,Martinez,33,Man
30737,Tom,Jones,38,Man
30738,Chris,White,59,Man
30739,John,Garcia,60,Man
30740,Lucy,Doe,39,Woman
30741,Mike,Johnson,23,Woman
30742,Emma,White,28,Man
30743,Sam,Brown,25,Man
30744,Anna,Taylor,41,Woman
30745,Chris,Lee,39,Woman
30746,Mike,Taylor,56,Woman
30747,Sam,Lee,33,Man
30748,Emma,Lee,57,Man
30749,Sam,Doe,37,Woman
30750,Emma,Lee,19,Man
30751,John,Johnson,30,Woman
30752,Lucy,White,31,Woman
30753,Anna,Taylor,58,Man
30754,Sam,Johnson,30,Woman
30755,Emma,Johnson,58,Woman
30756,Tom,Lee,19,Man
30757,Anna,Lee,55,Woman
30758,Sam,Smith,53,Woman
30759,Linda,Doe,43,Man
30760,Lucy,Garcia,60,Woman
30761,Tom,White,41,Woman
30762,John,Brown,54,Woman
30763,Sam,Taylor,47,Woman
30764,Lucy,Jones,46,Woman
30765,Sam,Smith,51,Man
30766,Chris,Smith,26,Woman
30767,Jane,Lee,59,Man
30768,Linda,Doe,18,Woman
30769,Tom,Doe,28,Woman
30770,Emma,Lee,35,Woman
30771,Chris,Martinez,27,Man
30772,John,Jones,46,Woman
30773,Sam,Smith,50,Man
30774,John,Doe,22,Man
30775,Anna,Smith,56,Man
30776,Anna,Taylor,57,Woman
30777,Sam,Lee,45,Woman
30778,Lucy,Lee,45,Man
30779,John,Doe,30,Woman
30780,Mike,Brown,25,Woman
30781,John,Lee,35,Man
30782,Jane,Lee,27,Man
30783,Sam,Johnson,49,Woman
30784,John,Martinez,51,Woman
30785,John,White,21,Man
30786,Linda,Jones,26,Woman
30787,Chris,White,19,Man
30788,Chris,Lee,19,Man
30789,John,Smith,37,Man
30790,Linda,Brown,59,Woman
30791,Anna,Jones,28,Woman
30792,Anna,Brown,27,Woman
30793,Tom,Brown,51,Man
30794,Jane,Jones,51,Man
30795,John,Doe,23,Woman
30796,Chris,Lee,31,Man
30797,Tom,White,48,Woman
30798,Sam,Johnson,35,Man
30799,Sam,Martinez,45,Man
30800,Jane,Doe,50,Woman
30801,Lucy,Garcia,57,Man
30802,Jane,Johnson,36,Man
30803,Chris,Jones,43,Man
30804,Lucy,Taylor,23,Woman
30805,Linda,Martinez,59,Woman
30806,Emma,Lee,58,Woman
30807,Anna,Johnson,39,Woman
30808,Chris,Johnson,52,Man
30809,Jane,Smith,32,Woman
30810,Emma,Smith,52,Woman
30811,Emma,Lee,39,Woman
30812,Mike,Brown,42,Man
30813,Emma,Johnson,46,Man
30814,Jane,Johnson,23,Man
30815,Lucy,Lee,59,Man
30816,Mike,Taylor,29,Woman
30817,Tom,Martinez,32,Woman
30818,Mike,Jones,25,Woman
30819,Lucy,Smith,51,Man
30820,Tom,White,32,Man
30821,Anna,Jones,41,Man
30822,Tom,Johnson,40,Man
30823,Tom,Smith,23,Man
30824,Linda,Martinez,53,Man
30825,Anna,Doe,60,Man
30826,Mike,Doe,49,Woman
30827,Lucy,Brown,48,Man
30828,Jane,Smith,46,Woman
30829,Chris,Lee,41,Man
30830,Chris,Smith,22,Woman
30831,Lucy,Garcia,55,Man
30832,Chris,Doe,55,Woman
30833,Sam,Brown,29,Woman
30834,John,White,37,Woman
30835,Linda,Johnson,41,Woman
30836,Chris,Lee,30,Woman
30837,Lucy,Brown,48,Woman
30838,Jane,Lee,23,Man
30839,Emma,White,29,Woman
30840,Linda,Taylor,28,Woman
30841,Lucy,Martinez,47,Woman
30842,Jane,Smith,27,Woman
30843,John,Doe,20,Woman
30844,Mike,Taylor,49,Man
30845,Sam,Garcia,57,Man
30846,Anna,Jones,22,Man
30847,Tom,Taylor,21,Man
30848,Jane,Johnson,43,Woman
30849,Lucy,Jones,55,Man
30850,Mike,Johnson,27,Man
30851,Emma,Taylor,35,Woman
30852,John,White,18,Woman
30853,Chris,Martinez,60,Man
30854,Mike,Doe,50,Woman
30855,Lucy,Johnson,52,Man
30856,Chris,Garcia,35,Man
30857,Anna,Jones,38,Woman
30858,Tom,Lee,18,Woman
30859,Sam,Jones,23,Woman
30860,Emma,Doe,28,Man
30861,Jane,Garcia,31,Woman
30862,Tom,Martinez,45,Man
30863,Linda,Doe,46,Man
30864,Linda,Taylor,60,Woman
30865,Jane,Smith,20,Man
30866,Mike,Smith,43,Woman
30867,Lucy,Martinez,49,Woman
30868,Jane,White,57,Man
30869,Linda,Lee,34,Man
30870,Chris,Brown,48,Man
30871,John,Garcia,22,Man
30872,Anna,Johnson,54,Man
30873,Sam,Lee,43,Man
30874,Sam,Doe,26,Man
30875,Mike,Brown,54,Man
30876,Jane,Brown,55,Woman
30877,Sam,Smith,41,Woman
30878,Anna,Jones,20,Man
30879,Anna,Taylor,54,Woman
30880,Sam,Garcia,57,Woman
30881,Linda,Brown,27,Man
30882,Mike,Brown,59,Woman
30883,John,White,19,Man
30884,Jane,Martinez,54,Man
30885,Mike,Doe,26,Man
30886,Tom,Doe,24,Woman
30887,Jane,Jones,39,Man
30888,Jane,Taylor,47,Man
30889,Jane,Taylor,50,Woman
30890,Linda,Garcia,44,Woman
30891,Tom,Johnson,39,Woman
30892,Sam,Martinez,49,Man
30893,Chris,Doe,46,Man
30894,Tom,Doe,27,Woman
30895,Lucy,Doe,32,Woman
30896,John,Jones,34,Woman
30897,Tom,Smith,36,Woman
30898,John,Garcia,58,Man
30899,Anna,Martinez,50,Man
30900,Emma,Lee,39,Man
30901,Mike,Martinez,46,Woman
30902,Lucy,White,60,Woman
30903,Lucy,Johnson,45,Man
30904,Linda,Johnson,33,Woman
30905,Sam,Johnson,18,Woman
30906,Sam,Smith,41,Woman
30907,Chris,Martinez,22,Woman
30908,Tom,Garcia,38,Man
30909,Tom,Brown,24,Man
30910,Chris,Garcia,32,Man
30911,Lucy,Brown,36,Man
30912,Linda,Jones,36,Woman
30913,Emma,Taylor,59,Woman
30914,Emma,White,49,Woman
30915,Sam,White,34,Man
30916,Anna,White,19,Woman
30917,Tom,Jones,56,Man
30918,Linda,Brown,58,Man
30919,John,Doe,40,Man
30920,Linda,Smith,26,Man
30921,Emma,Jones,44,Woman
30922,Chris,Brown,26,Man
30923,Tom,Johnson,45,Man
30924,Tom,Smith,60,Woman
30925,Lucy,Johnson,31,Woman
30926,Chris,Taylor,18,Man
30927,Chris,Martinez,52,Man
30928,Lucy,Martinez,53,Man
30929,Linda,Jones,38,Woman
30930,Jane,White,52,Woman
30931,Jane,Johnson,31,Man
30932,Tom,Smith,52,Woman
30933,Chris,Martinez,47,Woman
30934,Linda,Johnson,19,Woman
30935,Emma,White,46,Man
30936,Sam,Lee,30,Man
30937,Sam,Martinez,32,Woman
30938,Emma,Martinez,41,Man
30939,Emma,Johnson,50,Woman
30940,Emma,Johnson,50,Woman
30941,Lucy,Brown,19,Man
30942,John,Smith,57,Woman
30943,John,Garcia,39,Woman
30944,Lucy,Garcia,21,Woman
30945,Sam,Jones,57,Man
30946,Emma,Johnson,39,Woman
30947,Sam,Jones,44,Man
30948,Jane,Brown,53,Woman
30949,Anna,Johnson,47,Woman
30950,Sam,Jones,54,Man
30951,Chris,Doe,24,Man
30952,Mike,Smith,60,Man
30953,Chris,Garcia,46,Man
30954,Lucy,Garcia,46,Woman
30955,Jane,Brown,35,Man
30956,Anna,Martinez,18,Man
30957,Tom,Johnson,24,Man
30958,Linda,Jones,43,Woman
30959,Jane,Garcia,59,Man
30960,Linda,Jones,35,Woman
30961,Tom,Smith,19,Man
30962,Sam,Jones,53,Woman
30963,Mike,Smith,59,Man
30964,Tom,Martinez,41,Man
30965,Chris,Doe,22,Man
30966,Linda,Taylor,57,Woman
30967,Sam,Johnson,54,Woman
30968,John,Smith,28,Woman
30969,Mike,Smith,34,Woman
30970,Mike,Brown,34,Man
30971,Linda,Brown,30,Man
30972,Sam,Doe,44,Man
30973,Tom,Smith,35,Man
30974,Emma,Doe,19,Woman
30975,Chris,Martinez,18,Woman
30976,Anna,Taylor,45,Woman
30977,Jane,Doe,38,Woman
30978,Emma,Garcia,56,Woman
30979,Sam,Johnson,30,Woman
30980,John,Lee,41,Woman
30981,Jane,White,56,Man
30982,Linda,Martinez,54,Man
30983,Sam,Taylor,35,Woman
30984,Tom,White,45,Woman
30985,Emma,Brown,39,Woman
30986,Emma,Jones,20,Man
30987,Linda,Martinez,42,Man
30988,Linda,Doe,25,Woman
30989,Sam,Smith,53,Man
30990,Emma,White,18,Man
30991,Tom,Garcia,40,Man
30992,Anna,Garcia,36,Man
30993,Sam,Martinez,41,Woman
30994,Emma,Jones,46,Woman
30995,John,Doe,39,Woman
30996,Mike,Doe,41,Man
30997,Sam,Doe,34,Man
30998,Tom,Doe,34,Woman
30999,Emma,Jones,22,Woman
31000,Sam,Smith,22,Woman
31001,Lucy,Lee,41,Woman
31002,Mike,Jones,56,Man
31003,Chris,Jones,33,Man
31004,Sam,Johnson,30,Woman
31005,Lucy,Johnson,48,Woman
31006,Tom,Lee,47,Woman
31007,Anna,Smith,30,Woman
31008,Anna,Martinez,60,Man
31009,Tom,Martinez,52,Woman
31010,Lucy,Doe,37,Man
31011,Lucy,Johnson,48,Woman
31012,Tom,Garcia,58,Woman
31013,Tom,Martinez,54,Man
31014,Mike,Smith,30,Man
31015,Anna,Garcia,37,Woman
31016,Chris,Taylor,40,Woman
31017,Mike,Johnson,46,Man
31018,Mike,Johnson,19,Woman
31019,Mike,Garcia,30,Woman
31020,Lucy,Brown,28,Woman
31021,John,Doe,18,Woman
31022,Chris,Lee,28,Woman
31023,Sam,White,27,Man
31024,Jane,Brown,41,Man
31025,John,Smith,53,Woman
31026,Tom,White,55,Woman
31027,Jane,Doe,44,Woman
31028,John,Doe,42,Man
31029,Anna,Brown,33,Man
31030,John,Doe,49,Man
31031,Mike,Jones,26,Woman
31032,Chris,Garcia,25,Woman
31033,Sam,Jones,40,Man
31034,John,Taylor,21,Woman
31035,Anna,Johnson,37,Man
31036,John,Jones,57,Man
31037,Linda,Johnson,35,Man
31038,John,Johnson,40,Man
31039,Chris,Johnson,36,Woman
31040,Emma,Garcia,25,Man
31041,John,Brown,27,Man
31042,Sam,Brown,28,Man
31043,Emma,White,50,Woman
31044,Lucy,Jones,33,Woman
31045,Mike,Jones,53,Man
31046,Linda,Brown,41,Woman
31047,John,White,60,Man
31048,Linda,Brown,18,Woman
31049,Emma,Garcia,25,Woman
31050,Anna,Jones,52,Woman
31051,Anna,Martinez,58,Man
31052,Anna,Jones,39,Woman
31053,Linda,Smith,30,Man
31054,Lucy,Lee,48,Man
31055,Anna,Brown,43,Woman
31056,Lucy,White,45,Woman
31057,Anna,Smith,27,Man
31058,Emma,White,60,Man
31059,Anna,Jones,22,Man
31060,Lucy,White,49,Woman
31061,Linda,White,38,Woman
31062,Tom,Lee,59,Man
31063,Jane,Garcia,47,Woman
31064,Emma,Johnson,35,Man
31065,Tom,Garcia,31,Woman
31066,Sam,Jones,42,Man
31067,Emma,Smith,24,Woman
31068,Sam,White,49,Woman
31069,John,Lee,32,Woman
31070,Linda,Taylor,26,Woman
31071,John,Doe,52,Man
31072,Mike,Jones,23,Man
31073,Lucy,Smith,19,Man
31074,Emma,Smith,28,Man
31075,John,White,34,Man
31076,Anna,Johnson,57,Man
31077,Lucy,Doe,18,Woman
31078,Emma,Johnson,18,Woman
31079,Anna,Taylor,34,Man
31080,Emma,White,47,Man
31081,Anna,Taylor,26,Man
31082,Emma,Martinez,35,Woman
31083,Tom,Doe,58,Man
31084,John,White,38,Woman
31085,Mike,Martinez,44,Woman
31086,Lucy,Smith,33,Man
31087,Jane,Martinez,27,Woman
31088,Tom,Martinez,59,Man
31089,Mike,Martinez,36,Woman
31090,Jane,Lee,27,Woman
31091,Anna,Martinez,52,Woman
31092,Jane,Lee,31,Man
31093,Linda,White,34,Man
31094,Lucy,Brown,19,Woman
31095,Tom,White,33,Woman
31096,Lucy,Lee,22,Man
31097,Emma,Smith,50,Woman
31098,Chris,Smith,40,Woman
31099,Chris,Martinez,30,Woman
31100,Jane,Johnson,21,Woman
31101,Jane,White,60,Man
31102,Jane,Smith,50,Woman
31103,Lucy,Jones,44,Woman
31104,Emma,Doe,34,Woman
31105,Mike,White,19,Man
31106,Tom,Brown,52,Woman
31107,Sam,Garcia,55,Man
31108,John,Brown,34,Man
31109,Sam,Lee,39,Man
31110,Anna,Doe,33,Woman
31111,Mike,Smith,49,Woman
31112,John,White,56,Man
31113,Sam,Taylor,49,Woman
31114,Tom,Smith,54,Man
31115,Jane,White,48,Woman
31116,Tom,Doe,59,Woman
31117,John,Smith,31,Man
31118,John,Jones,33,Woman
31119,Mike,Garcia,22,Woman
31120,Tom,Taylor,23,Man
31121,Linda,Taylor,32,Woman
31122,Emma,Taylor,34,Woman
31123,Anna,Martinez,59,Man
31124,Chris,Jones,32,Woman
31125,Anna,Taylor,18,Woman
31126,Mike,Martinez,49,Woman
31127,Chris,Doe,20,Man
31128,Tom,White,41,Man
31129,John,Johnson,44,Man
31130,Chris,Johnson,26,Man
31131,Chris,White,19,Man
31132,Lucy,Smith,45,Man
31133,Chris,Johnson,32,Man
31134,Chris,Lee,45,Man
31135,Linda,Brown,32,Man
31136,Emma,Taylor,44,Woman
31137,Lucy,Doe,21,Man
31138,Chris,Jones,38,Woman
31139,John,Johnson,27,Woman
31140,Sam,Brown,29,Woman
31141,Tom,Smith,58,Man
31142,Tom,Taylor,57,Woman
31143,Tom,Lee,45,Man
31144,Chris,Taylor,48,Man
31145,Jane,Jones,42,Woman
31146,Sam,Garcia,29,Woman
31147,Chris,Doe,44,Man
31148,Anna,Johnson,56,Man
31149,Lucy,Lee,32,Man
31150,Emma,Brown,52,Man
31151,John,Lee,32,Man
31152,Emma,Jones,40,Woman
31153,Emma,Brown,37,Man
31154,Linda,White,55,Man
31155,Sam,Brown,27,Man
31156,Emma,Smith,52,Woman
31157,Jane,Taylor,46,Man
31158,John,Martinez,20,Woman
31159,Mike,Garcia,52,Man
31160,Chris,Brown,26,Woman
31161,Emma,White,29,Man
31162,Chris,White,30,Woman
31163,Tom,Smith,55,Man
31164,Tom,Jones,29,Man
31165,Chris,Doe,34,Woman
31166,Emma,Jones,53,Woman
31167,Jane,Lee,30,Man
31168,Emma,Lee,44,Man
31169,Anna,Garcia,35,Man
31170,Anna,Taylor,21,Woman
31171,Linda,White,40,Woman
31172,Sam,Garcia,33,Woman
31173,Anna,Martinez,49,Man
31174,Tom,Garcia,30,Woman
31175,Mike,Martinez,42,Woman
31176,Tom,Garcia,33,Woman
31177,Anna,Taylor,43,Woman
31178,Anna,Smith,23,Woman
31179,Sam,Jones,33,Man
31180,Linda,Doe,52,Man
31181,Linda,White,58,Woman
31182,Sam,Brown,43,Man
31183,Sam,Jones,23,Man
31184,Chris,Lee,56,Man
31185,Anna,Garcia,60,Woman
31186,Emma,Garcia,43,Woman
31187,John,White,32,Woman
31188,Tom,Garcia,47,Man
31189,Jane,Jones,46,Man
31190,Anna,Doe,34,Woman
31191,Emma,Johnson,38,Woman
31192,Anna,Taylor,55,Woman
31193,Emma,Lee,51,Woman
31194,Tom,Johnson,48,Man
31195,Chris,Smith,54,Man
31196,Linda,Johnson,31,Woman
31197,Lucy,Garcia,33,Woman
31198,Chris,Doe,58,Woman
31199,Chris,Jones,26,Man
31200,Linda,Garcia,55,Man
31201,Jane,Johnson,36,Man
31202,Sam,Doe,47,Man
31203,Chris,Lee,34,Man
31204,Mike,Brown,28,Woman
31205,Mike,Brown,29,Man
31206,Emma,Taylor,19,Man
31207,Emma,Brown,53,Woman
31208,Linda,Jones,25,Woman
31209,Emma,Lee,34,Woman
31210,Anna,Doe,20,Man
31211,Lucy,Lee,27,Woman
31212,Mike,Doe,19,Man
31213,Anna,White,41,Woman
31214,Anna,Smith,39,Man
31215,Sam,Martinez,20,Man
31216,Chris,Johnson,57,Woman
31217,Lucy,Doe,48,Man
31218,Chris,Lee,54,Woman
31219,Chris,Martinez,46,Man
31220,Sam,Brown,44,Woman
31221,John,Taylor,22,Man
31222,Sam,White,18,Man
31223,John,Jones,34,Woman
31224,Tom,Jones,51,Woman
31225,Chris,Taylor,44,Man
31226,Mike,White,23,Woman
31227,Chris,Brown,30,Man
31228,Mike,Lee,39,Woman
31229,Mike,Martinez,41,Woman
31230,John,Johnson,57,Woman
31231,Emma,Jones,53,Woman
31232,Mike,White,42,Woman
31233,Mike,Martinez,31,Man
31234,Lucy,Brown,45,Woman
31235,Emma,Martinez,31,Woman
31236,Jane,Jones,33,Woman
31237,Tom,Lee,40,Man
31238,Sam,Martinez,26,Man
31239,Sam,Taylor,20,Man
31240,John,Doe,40,Man
31241,Linda,Doe,48,Man
31242,Anna,Martinez,48,Man
31243,John,Doe,37,Woman
31244,John,Johnson,30,Man
31245,Emma,Martinez,58,Man
31246,Emma,Jones,19,Woman
31247,John,Garcia,50,Man
31248,Jane,Lee,46,Woman
31249,Anna,Taylor,29,Woman
31250,Jane,Garcia,36,Man
31251,Emma,Lee,18,Man
31252,Jane,Garcia,40,Woman
31253,Mike,Brown,51,Woman
31254,Sam,Taylor,34,Woman
31255,Lucy,Smith,25,Man
31256,Anna,White,53,Woman
31257,Jane,Smith,24,Woman
31258,Anna,Smith,31,Man
31259,Sam,Johnson,53,Woman
31260,John,Smith,25,Man
31261,Anna,Lee,22,Man
31262,Lucy,Martinez,38,Woman
31263,Emma,Jones,24,Man
31264,Mike,Garcia,56,Woman
31265,Anna,Brown,30,Woman
31266,Mike,Johnson,29,Woman
31267,Mike,Johnson,35,Man
31268,Linda,Smith,19,Woman
31269,Chris,Doe,58,Man
31270,Linda,Smith,52,Man
31271,Sam,Doe,23,Man
31272,Jane,Martinez,21,Man
31273,Anna,Taylor,45,Woman
31274,Anna,Doe,23,Man
31275,Mike,Doe,48,Man
31276,Emma,White,37,Man
31277,Tom,Doe,19,Man
31278,Lucy,Taylor,60,Man
31279,Emma,Doe,35,Woman
31280,Tom,Taylor,47,Man
31281,Linda,Martinez,33,Woman
31282,Tom,Martinez,29,Man
31283,Anna,Doe,23,Man
31284,Emma,Smith,59,Man
31285,Lucy,Doe,47,Man
31286,Tom,Taylor,49,Woman
31287,Lucy,Lee,32,Woman
31288,Anna,Doe,52,Woman
31289,Emma,Doe,39,Man
31290,Jane,Lee,38,Man
31291,John,White,21,Man
31292,Sam,Smith,56,Woman
31293,Sam,Jones,20,Woman
31294,Tom,Martinez,59,Woman
31295,Emma,Smith,56,Man
31296,Jane,Johnson,39,Woman
31297,Sam,Doe,43,Man
31298,Sam,Smith,57,Man
31299,John,Smith,29,Man
31300,John,White,46,Woman
31301,Emma,Martinez,32,Woman
31302,Jane,Garcia,57,Man
31303,John,Lee,36,Man
31304,Mike,Lee,57,Man
31305,John,Johnson,29,Man
31306,Linda,Smith,42,Woman
31307,Sam,Taylor,32,Man
31308,Anna,Jones,30,Woman
31309,Mike,Taylor,23,Man
31310,Lucy,Doe,55,Man
31311,Linda,Brown,28,Man
31312,Sam,Taylor,49,Man
31313,Linda,Johnson,51,Woman
31314,Emma,Garcia,52,Man
31315,Lucy,Brown,36,Woman
31316,Emma,Garcia,49,Man
31317,John,Doe,42,Man
31318,Chris,Brown,48,Woman
31319,Mike,Garcia,45,Man
31320,John,Taylor,27,Man
31321,Lucy,Taylor,22,Man
31322,Anna,Martinez,49,Woman
31323,Lucy,Lee,57,Man
31324,Jane,Lee,39,Woman
31325,Emma,Taylor,43,Man
31326,Chris,Martinez,48,Woman
31327,Linda,Martinez,53,Woman
31328,Lucy,Martinez,52,Woman
31329,Sam,Johnson,18,Woman
31330,John,Doe,34,Man
31331,Mike,Doe,38,Man
31332,Jane,Taylor,53,Woman
31333,John,Johnson,48,Woman
31334,Anna,White,30,Woman
31335,Linda,Doe,48,Man
31336,Jane,Smith,39,Man
31337,Jane,Smith,53,Man
31338,John,Martinez,50,Man
31339,Tom,Jones,50,Woman
31340,Linda,Smith,24,Woman
31341,Chris,White,50,Man
31342,John,Lee,25,Woman
31343,Mike,Lee,49,Woman
31344,Lucy,Brown,34,Man
31345,Jane,Johnson,24,Woman
31346,Mike,White,53,Woman
31347,Anna,Taylor,51,Woman
31348,Tom,Jones,59,Woman
31349,Chris,Jones,38,Woman
31350,Anna,Garcia,40,Woman
31351,Sam,Taylor,53,Man
31352,John,Brown,26,Man
31353,John,Taylor,30,Woman
31354,Jane,Jones,26,Woman
31355,Emma,Taylor,49,Man
31356,Chris,Martinez,29,Man
31357,Linda,Smith,54,Man
31358,Anna,White,33,Man
31359,Jane,Jones,58,Woman
31360,Linda,Doe,48,Woman
31361,Anna,Lee,53,Man
31362,Anna,Garcia,32,Man
31363,Emma,Brown,45,Woman
31364,Lucy,Jones,55,Man
31365,Linda,Martinez,52,Man
31366,Chris,Doe,39,Woman
31367,Lucy,Smith,36,Woman
31368,Mike,White,37,Woman
31369,Linda,Lee,25,Woman
31370,Lucy,Doe,57,Man
31371,Sam,Doe,18,Woman
31372,Chris,Brown,51,Man
31373,Jane,White,60,Man
31374,John,Doe,31,Man
31375,Anna,Lee,37,Woman
31376,Mike,Smith,42,Woman
31377,Anna,Johnson,45,Man
31378,Sam,Martinez,29,Man
31379,Sam,Brown,38,Woman
31380,Anna,Jones,59,Woman
31381,Jane,White,51,Woman
31382,John,Smith,26,Woman
31383,Sam,Johnson,28,Man
31384,Sam,Doe,23,Man
31385,Mike,Martinez,54,Man
31386,John,Taylor,60,Man
31387,Linda,Johnson,58,Man
31388,Sam,Smith,31,Man
31389,Anna,Doe,35,Woman
31390,Mike,White,22,Man
31391,Emma,Johnson,50,Man
31392,Emma,Smith,46,Man
31393,Chris,Smith,23,Man
31394,Jane,Taylor,27,Man
31395,John,Smith,38,Woman
31396,Chris,Brown,59,Woman
